"","date","price","macd1","signal1","macd2","signal2","priceTraded","trade","return","cumReturn"
"2017-01-01",2017-01-01,998.325012207031,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-02",2017-01-02,1021.75,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-03",2017-01-03,1043.83996582031,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-04",2017-01-04,1154.72998046875,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-05",2017-01-05,1013.38000488281,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-06",2017-01-06,902.200988769531,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-07",2017-01-07,908.585021972656,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-08",2017-01-08,911.198974609375,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-09",2017-01-09,902.828002929688,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-10",2017-01-10,907.679016113281,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-11",2017-01-11,777.757019042969,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-12",2017-01-12,804.833984375,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-13",2017-01-13,823.984008789062,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-14",2017-01-14,818.411987304688,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-15",2017-01-15,821.797973632812,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-16",2017-01-16,831.533996582031,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-17",2017-01-17,907.93798828125,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-18",2017-01-18,886.617980957031,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-19",2017-01-19,899.072998046875,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-20",2017-01-20,895.026000976562,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-21",2017-01-21,921.789001464844,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-22",2017-01-22,924.672973632812,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-23",2017-01-23,921.012023925781,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-24",2017-01-24,892.68701171875,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-25",2017-01-25,901.5419921875,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-26",2017-01-26,917.585998535156,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-27",2017-01-27,919.75,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-28",2017-01-28,921.590026855469,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-29",2017-01-29,919.495971679688,NA,NA,NA,NA,NA,NA,NA,NA
