"","date","price","return","cumReturn","trade"
"2017-04-07","2017-04-07",1176.90002441406,0,1,1
"2017-06-13","2017-06-13",2717.02001953125,1.308624320816,2.308624320816,-1
"2017-07-21","2017-07-21",2667.76000976562,0,2.308624320816,1
"2017-09-03","2017-09-03",4582.9599609375,0.717905637748927,3.9659987361741,-1
"2017-09-29","2017-09-29",4163.06982421875,0,3.9659987361741,1
"2017-10-28","2017-10-28",5753.08984375,0.381934506666517,5.48075050691478,-1
"2017-10-31","2017-10-31",6468.39990234375,0,5.48075050691478,1
"2017-11-10","2017-11-10",6618.14013671875,0.0231495016751737,5.60762714995581,-1
"2017-11-17","2017-11-17",7708.990234375,0,5.60762714995581,1
"2017-12-20","2017-12-20",16624.599609375,1.15652103634074,12.0929659128352,-1
"2018-04-24","2018-04-24",9697.5,0,12.0929659128352,1
"2018-05-11","2018-05-11",8441.490234375,-0.129518924013921,10.5266979796677,-1
"2018-07-22","2018-07-22",7418.490234375,0,10.5266979796677,1
"2018-08-04","2018-08-04",7032.85009765625,-0.0519836414870255,9.97948188585048,-1
"2019-02-23","2019-02-23",4142.52685546875,0,9.97948188585048,1
"2019-04-25","2019-04-25",5210.515625,0.257810946505113,12.5523015564722,-1
"2019-05-04","2019-05-04",5831.16748046875,0,12.5523015564722,1
"2019-06-01","2019-06-01",8564.0166015625,0.46866242999319,18.4350937059358,-1
"2019-06-16","2019-06-16",8994.48828125,0,18.4350937059358,1
"2019-07-02","2019-07-02",10801.677734375,0.200921875332506,22.1391073052629,-1
"2019-08-05","2019-08-05",11805.6533203125,0,22.1391073052629,1
"2019-08-13","2019-08-13",10895.830078125,-0.0770667423057462,20.4329184276889,-1
"2020-01-12","2020-01-12",8192.494140625,0,20.4329184276889,1
"2020-02-17","2020-02-17",9690.142578125,0.182807385857434,24.1682068308929,-1
"2020-04-27","2020-04-27",7795.60107421875,0,24.1682068308929,1
"2020-05-22","2020-05-22",9182.5771484375,0.177917784788359,28.4681606525523,-1
"2020-06-01","2020-06-01",10167.2685546875,0,28.4681606525523,1
"2020-06-03","2020-06-03",9656.7177734375,-0.0502151367895772,27.0386280712367,-1
"2020-07-27","2020-07-27",10990.873046875,0,27.0386280712367,1
"2020-08-20","2020-08-20",11878.3720703125,0.0807487284815686,29.2219629078751,-1
"2020-10-20","2020-10-20",11916.3349609375,0,29.2219629078751,1
"2020-11-27","2020-11-27",17108.40234375,0.435710090378663,41.9542670075073,-1
"2020-12-16","2020-12-16",21310.59765625,0,41.9542670075073,1
"2021-01-15","2021-01-15",36825.3671875,0.728030709485982,72.4982617829473,-1
"2021-02-05","2021-02-05",38144.30859375,0,72.4982617829473,1
"2021-02-06","2021-02-06",39266.01171875,0.0294068280787712,74.6302057032081,-1
"2021-02-07","2021-02-07",38903.44140625,0,74.6302057032081,1
"2021-02-24","2021-02-24",49705.33203125,0.2776589996808,95.3519539647333,-1
"2021-03-10","2021-03-10",56008.55078125,0,95.3519539647333,1
"2021-03-16","2021-03-16",56804.90234375,0.014218392573846,96.7077054788871,-1
"2021-03-17","2021-03-17",58870.89453125,0,96.7077054788871,1
"2021-03-18","2021-03-18",57858.921875,-0.0171896938938616,95.0453296245273,-1
"2021-04-13","2021-04-13",63503.45703125,0,95.0453296245273,1
"2021-04-14","2021-04-14",63109.6953125,-0.00620063437737303,94.4559882862487,-1
"2021-04-15","2021-04-15",63314.01171875,0,94.4559882862487,1
"2021-04-16","2021-04-16",61572.7890625,-0.0275013793784662,91.8583183178206,-1
"2021-07-28","2021-07-28",39995.90625,0,91.8583183178206,1
"2021-08-30","2021-08-30",47054.984375,0.176495016286823,108.070853705405,-1
"2021-09-05","2021-09-05",51753.41015625,0,108.070853705405,1
"2021-09-07","2021-09-07",46811.12890625,-0.095496726400804,97.7504409571982,-1
"2021-10-05","2021-10-05",51514.8125,0,97.7504409571982,1
"2021-10-27","2021-10-27",58482.38671875,0.135253801394502,110.971559684648,-1
"2021-11-09","2021-11-09",66971.828125,0,110.971559684648,1
"2021-11-11","2021-11-11",64949.9609375,-0.0301898162870255,107.621348684684,-1
"2022-03-26","2022-03-26",44500.828125,0,107.621348684684,1
"2022-04-07","2022-04-07",43503.84765625,-0.0224036385558836,105.210238887856,-1
"2023-01-13","2023-01-13",19909.57421875,0,105.210238887856,1
"2023-02-06","2023-02-06",22760.109375,0.143174089256288,120.273619021061,-1
"2023-02-17","2023-02-17",24565.6015625,0,120.273619021061,1
"2023-02-23","2023-02-23",23947.4921875,-0.025161581059898,117.247344606695,-1
"2023-03-15","2023-03-15",24375.9609375,0,117.247344606695,1
"2023-04-05","2023-04-05",28177.984375,0.155974299731132,135.534917077059,-1
"2023-04-11","2023-04-11",30235.05859375,0,135.534917077059,1
"2023-04-17","2023-04-17",29445.044921875,-0.0261290603894615,131.993517043872,-1
"2023-06-22","2023-06-22",29912.28125,0,131.993517043872,1
"2023-07-15","2023-07-15",30295.806640625,0.0128216697155119,133.685894323997,-1
"2023-10-21","2023-10-21",29918.412109375,0,133.685894323997,1
